γ,err,converged,S,T,U,k
0.9953929256770557,0.0,true,0.8023747203744316,0.9227309284305963,38.10979709934135,23.0
0.15462891501485232,0.0,true,0.9501593436123961,0.9976673107930158,40.19000093199603,21.0
0.8959555923535438,0.0,true,0.8058736121784122,0.9267546540051741,39.138665291009616,23.0
0.11889216127640823,0.0,true,0.9641894479263323,0.9641894479263323,39.9377368940297,20.0
0.3459869453413158,0.0,true,0.9233208701470649,0.9694869136544181,38.72375948869018,21.0
0.47057366468250295,0.0,true,0.8106763793229921,0.8917440172552913,40.357718183850366,22.0
0.2976337758466252,0.0,true,0.8945107821864459,0.9392363212957682,38.367019811191895,21.0
0.7623834712511923,0.0,true,0.8181883222189275,0.9409165705517666,38.95734820389528,23.0
0.7370226294312741,0.0,true,0.8253084880903451,0.9078393368993796,39.100903271976925,22.0
0.2194325473957084,0.0,true,0.8861982331909081,0.9305081448504534,39.35364278026243,21.0
0.6786821667944114,0.0,true,0.7331593572495153,0.8797912286994183,39.11124542245118,24.0
0.5137090876079187,0.0,true,0.8207025968495429,0.9027728565344972,39.870054857401456,22.0
0.6095137948226235,0.0,true,0.7045381674526318,0.8454458009431581,39.02760312794588,24.0
0.6369105729758546,0.0,true,0.8816714000358042,0.9257549700375944,39.04149817159427,21.0
0.25367583309051844,0.0,true,0.8599396407128456,0.9459336047841301,38.44987084119257,22.0
0.896303433821815,0.0,true,0.8282426958039408,0.9110669653843348,39.16825245920269,22.0
0.9402417100542704,0.0,true,0.7802960309899089,0.8973404356383952,39.060870546099494,23.0
0.12226551265307783,0.0,true,0.9650081572075759,0.9650081572075759,41.269831509489954,20.0
0.04593484571701789,0.0,true,0.9650831762950955,0.9650831762950955,39.96465338005605,20.0
0.5662103834938774,0.0,true,0.8883619770126694,0.9327800758633028,38.876396488016965,21.0
0.9156346105618325,0.0,true,0.8441233179743918,0.9285356497718309,39.98003895183821,22.0
0.6146928699038186,0.0,true,0.8358016398430389,0.9193818038273427,40.02670111016809,22.0
0.4015687540424917,0.0,true,0.8384177783734593,0.9222595562108052,39.33118012985526,22.0
0.8784429967595573,0.0,true,0.810072273565249,0.891079500921774,39.774737191675555,22.0
