Binv,err,converged,S,T,U,k
0.7843269674818423,0.0,true,0.8979869317836409,0.9428862783728229,40.80271604323936,21.0
0.765669134885532,0.01503675654345705,false,0.803135759371814,0.8889024618678902,43.283206061947006,22.13579588494877
0.5097919193873204,0.0,true,0.7844403190762701,0.9021063669377106,40.39571592112224,23.0
0.3775385074552149,0.007720290028388313,false,0.8173565642754038,0.9081209243910772,39.99358185993035,22.220924479786543
0.30626221921702235,0.0,true,0.7949079196262587,0.9141441075701975,39.38733251064326,23.0
0.7763282924315611,0.0,true,0.73098854280343,0.9137356785042874,38.310566079548124,25.0
0.0514126039719085,0.0,true,0.8816664795415076,0.9257498035185829,38.72064811654032,21.0
0.6851165491210469,0.0,true,0.8627286822242316,0.9490015504466548,37.910654611845786,22.0
0.9437752944996889,0.0,true,0.8126447596628265,0.8939092356291092,40.593742373638634,22.0
0.08784626966837861,0.0,true,0.8865923293809427,0.9309219458499898,40.16013352000304,21.0
0.09510019914615997,0.0,true,0.7602198956766242,0.912263874811949,38.960232970517,24.0
0.516999273408806,0.0,true,0.7902197485589995,0.9087527108428495,40.810811739198044,23.0
0.26220927784919223,0.0,true,0.8298301766760631,0.9128131943436694,38.38698161350371,22.0
0.6552808985658662,0.0,true,0.8341676411893819,0.9592927873677892,39.07646799854588,23.0
0.9500336116960579,0.0,true,0.8376106879586654,0.921371756754532,43.94102855172532,22.0
0.025639844728966077,0.0,true,0.8041933760218873,0.9248223824251705,38.5523982167381,23.0
0.8923909822570515,0.0,true,0.7992963448562946,0.8792259793419241,41.55747424090417,22.0
0.8538427627684497,0.0,true,0.826009833388236,0.9499113083964714,40.14433074113687,23.0
0.5798323653078237,0.0,true,0.8460452345889153,0.8883474963183611,42.02399880681938,21.0
0.05354156530703125,0.0,true,0.8207665079647808,0.9028431587612589,39.56018852568265,22.0
0.6781129926295808,0.0,true,0.7784046617061173,0.8951653609620349,39.838940414581785,23.0
0.5286055410613006,0.0,true,0.7864095174268365,0.904370945040862,39.312415280443375,23.0
0.5492027668120125,0.0,true,0.8997937656689133,0.9447834539523591,39.89350172772387,21.0
0.9363178288929239,0.00777986431725264,false,0.7526191586104208,0.8738182422473605,42.4559814967333,23.220728100005118
0.20485090035720166,0.0,true,0.8904491794538716,0.9349716384265652,41.25416943545321,21.0
0.6707104193784263,0.0,true,0.8457399607113768,0.9303139567825145,39.322277645088974,22.0
0.7338312393389721,0.0,true,0.7758487987804692,0.931018558536563,40.196263774290415,24.0
0.745878049830361,0.0,true,0.7656028116206811,0.9187233739448173,39.44659252345326,24.0
0.5498560891451956,0.0,true,0.840913798936474,0.9250051788301213,39.49395321161817,22.0
0.937436655580453,0.0,true,0.7375737092783817,0.8850884511340581,40.49825843211842,24.0
0.6404784532017935,0.0,true,0.7397997215292236,0.8877596658350683,40.45262394828783,24.0
0.42145235553146954,0.0,true,0.8723216264295957,0.9595537890725552,39.602477871987205,22.0
0.9876020045046432,0.0,true,0.772892142993677,0.8888259644427287,41.01463905160722,23.0
0.5607136712121077,0.0,true,0.8213958445701901,0.9446052212557186,38.53869568192697,23.0
0.22321433816845127,0.0,true,0.835826900990438,0.9194095910894818,39.62268722981719,22.0
0.9645245638136803,0.0,true,0.7194856927776127,0.8633828313331351,40.48137546953524,24.0
0.3556570596652373,0.0,true,0.7739079868271045,0.8899941848511702,40.66842425533254,23.0
0.0654600597023356,0.0,true,0.859509322433702,0.9454602546770723,39.48873008525999,22.0
0.8946454622552349,0.0,true,0.7807074430483847,0.8978135595056423,39.76691024288637,23.0
0.3482090196820906,0.0,true,0.7952814623262365,0.914573681675172,39.02888649070479,23.0
0.5886940763436193,0.0,true,0.791911254503175,0.9106979426786512,38.6136963021966,23.0
0.8851423216358045,0.0,true,0.8900102468560391,0.9345107591988411,42.996902813568795,21.0
0.3552877445684923,0.0,true,0.7796966830608677,0.8966511855199979,39.54570823354166,23.0
0.8944966306271871,0.0,true,0.7400079148291415,0.8880094977949697,39.6857406475722,24.0
0.7092778587461057,0.0,true,0.7455308585062909,0.9319135731328636,41.138889132393494,25.0
0.05396340454629689,0.0,true,0.8543811590679644,0.8971002170213627,39.53339332532022,21.0
0.005627589914249054,0.0,true,0.8420716749113104,0.9262788424024414,39.02370682959629,22.0
0.5687729574407703,0.0,true,0.7997920906969336,0.9597505088363203,36.127210242730015,24.0
0.7794951753141905,0.0,true,0.8241419343301456,0.9065561277631602,40.52154179545613,22.0
0.8975484890127245,0.0,true,0.7613034202289612,0.8374337622518574,42.97840135845942,22.0
0.12135930989044263,0.0,true,0.8580769136232888,0.9438846049856175,38.961169202254126,22.0
0.9482457383000515,0.0,true,0.7579523155676456,0.9095427786811747,39.53347969609209,24.0
0.30066341953140796,0.0,true,0.7444735616933064,0.8933682740319677,39.67126853700186,24.0
0.6731951569579913,0.0,true,0.77215424854534,0.8879773858271409,38.55766092930633,23.0
